# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  114       4.147080395035e-10       1.268577307180e-13      -4.247109399762e-12       0.000000000000e+00       7.630408438444e-12       1.160715669559e-12      -6.429658681424e-15 
  115       4.190972329581e-10       1.283382007845e-13      -4.328310677577e-12       0.000000000000e+00       7.452896420386e-12       1.139502505779e-12      -6.407752190601e-15 
  116       4.235020616867e-10       1.297728284688e-13      -4.408560491577e-12       0.000000000000e+00       7.280138107250e-12       1.118734668563e-12      -6.377248887895e-15 
  117       4.279218837082e-10       1.311601597744e-13      -4.487788018135e-12       0.000000000000e+00       7.112067420321e-12       1.098407759805e-12      -6.337718346335e-15 
  118       4.323561423793e-10       1.324987977474e-13      -4.565920633354e-12       0.000000000000e+00       6.948698050273e-12       1.078529309295e-12      -6.289778051396e-15 
  119       4.368041951960e-10       1.337873764300e-13      -4.642885445679e-12       0.000000000000e+00       6.790017180822e-12       1.059104220199e-12      -6.234104887504e-15 
  120       4.412653110477e-10       1.350245622247e-13      -4.718609323921e-12       0.000000000000e+00       6.635984676277e-12       1.040134683397e-12      -6.171436478921e-15 
  121       4.457386674713e-10       1.362090552581e-13      -4.793018925283e-12       0.000000000000e+00       6.486532269075e-12       1.021620091812e-12      -6.102572530627e-15 
  122       4.502233479047e-10       1.373395907455e-13      -4.866040723386e-12       0.000000000000e+00       6.341562747334e-12       1.003556954744e-12      -6.028376169207e-15 
  123       4.547183389409e-10       1.384149403547e-13      -4.937601036298e-12       0.000000000000e+00       6.200949142390e-12       9.859388122000e-13      -5.949775283725e-15 
  124       4.592225275822e-10       1.394339135700e-13      -5.007626054556e-12       0.000000000000e+00       6.064533916345e-12       9.687561492268e-13      -5.867763866618e-15 
  125       4.637346984939e-10       1.403953590568e-13      -5.076041869194e-12       0.000000000000e+00       5.932128149606e-12       9.519963102433e-13      -5.783403354571e-15 
  126       4.682535312582e-10       1.412981660251e-13      -5.142774499768e-12       0.000000000000e+00       5.803510728436e-12       9.356434133717e-13      -5.697823969402e-15 
  127       4.727775976283e-10       1.421412655940e-13      -5.207749922386e-12       0.000000000000e+00       5.678427532490e-12       9.196782647702e-13      -5.612226058948e-15 
  128       4.773053587822e-10       1.429236321558e-13      -5.270894097726e-12       0.000000000000e+00       5.556590622366e-12       9.040782729648e-13      -5.527881437944e-15 
  129       4.818353286256e-10       1.436443293831e-13      -5.332134360119e-12       0.000000000000e+00       5.437740128441e-12       8.888226783191e-13      -5.445888232871e-15 
  130       4.863665897874e-10       1.443026510594e-13      -5.391403697514e-12       0.000000000000e+00       5.321839319223e-12       8.739090720243e-13      -5.366402161576e-15 
  131       4.908983293037e-10       1.448979983475e-13      -5.448636996176e-12       0.000000000000e+00       5.208899496478e-12       8.593385358040e-13      -5.289323065524e-15 
  132       4.954296761002e-10       1.454298381986e-13      -5.503769759122e-12       0.000000000000e+00       5.098918851938e-12       8.451104420494e-13      -5.214533427786e-15 
  133       4.999596994344e-10       1.458977050355e-13      -5.556738143882e-12       0.000000000000e+00       4.991882103512e-12       8.312224061850e-13      -5.141897950087e-15 
  134       5.044874073378e-10       1.463012024363e-13      -5.607479000265e-12       0.000000000000e+00       4.887760131497e-12       8.176702390336e-13      -5.071263129851e-15 
  135       5.090117450578e-10       1.466400048181e-13      -5.655929908128e-12       0.000000000000e+00       4.786509614789e-12       8.044478991813e-13      -5.002456837253e-15 
  136       5.135315935001e-10       1.469138591203e-13      -5.702029215137e-12       0.000000000000e+00       4.688072667096e-12       7.915474453428e-13      -4.935287892259e-15 
  137       5.180457676709e-10       1.471225864885e-13      -5.745716074535e-12       0.000000000000e+00       4.592376473148e-12       7.789589887264e-13      -4.869545641682e-15 
  138       5.225530151184e-10       1.472660839576e-13      -5.786930482904e-12       0.000000000000e+00       4.499332924909e-12       7.666706453995e-13      -4.804999536222e-15 
  139       5.270520143756e-10       1.473443261359e-13      -5.825613317934e-12       0.000000000000e+00       4.408838257789e-12       7.546684886534e-13      -4.741398707519e-15 
